ImageCLEFmedical_Caption_2024_train_046269,C0041618
ImageCLEFmedical_Caption_2024_train_031628,C0041618
ImageCLEFmedical_Caption_2024_valid_007170,C0002978
ImageCLEFmedical_Caption_2024_train_007477,C0024485
ImageCLEFmedical_Caption_2024_train_041790,C0041618
ImageCLEFmedical_Caption_2024_train_032678,C1261316;C0002978
ImageCLEFmedical_Caption_2024_train_044324,C0040405;C0024485
ImageCLEFmedical_Caption_2024_train_050876,C0040405
ImageCLEFmedical_Caption_2024_train_031368,C0040405
ImageCLEFmedical_Caption_2024_valid_009267,C0040405
ImageCLEFmedical_Caption_2024_train_057670,C0000726;C1306645
ImageCLEFmedical_Caption_2024_train_067126,C0002978;C1306645
ImageCLEFmedical_Caption_2024_train_013501,C0040405
ImageCLEFmedical_Caption_2024_train_031371,C0041618
ImageCLEFmedical_Caption_2024_valid_006317,C0024485
ImageCLEFmedical_Caption_2024_train_000260,C1306645
ImageCLEFmedical_Caption_2024_train_001287,C0040405
ImageCLEFmedical_Caption_2024_train_066432,C0023216;C1306645
ImageCLEFmedical_Caption_2024_train_009525,C0024485
ImageCLEFmedical_Caption_2024_train_039025,C0024485
ImageCLEFmedical_Caption_2024_valid_005481,C0041618
ImageCLEFmedical_Caption_2024_train_062335,C0040405
ImageCLEFmedical_Caption_2024_train_001310,C0041618
ImageCLEFmedical_Caption_2024_train_027543,C0041618;C0225897;C0225883;C0225860
ImageCLEFmedical_Caption_2024_train_029436,C0041618
ImageCLEFmedical_Caption_2024_train_056810,C0040405
ImageCLEFmedical_Caption_2024_train_037952,C0024485
ImageCLEFmedical_Caption_2024_train_015660,C0041618
ImageCLEFmedical_Caption_2024_valid_000628,C0040405
ImageCLEFmedical_Caption_2024_valid_000740,C0040405
ImageCLEFmedical_Caption_2024_train_024783,C0002978
ImageCLEFmedical_Caption_2024_train_066334,C0024485
ImageCLEFmedical_Caption_2024_train_064421,C0817096;C1306645
ImageCLEFmedical_Caption_2024_train_057460,C0037303;C1306645
ImageCLEFmedical_Caption_2024_train_042522,C0040405
ImageCLEFmedical_Caption_2024_train_068951,C0817096;C1306645
ImageCLEFmedical_Caption_2024_train_068918,C0040405
ImageCLEFmedical_Caption_2024_train_029116,C0024485
ImageCLEFmedical_Caption_2024_train_070091,C0040405
ImageCLEFmedical_Caption_2024_valid_003833,C0817096;C1306645
ImageCLEFmedical_Caption_2024_valid_002475,C0226032;C0002978
ImageCLEFmedical_Caption_2024_train_058004,C0041618
ImageCLEFmedical_Caption_2024_train_030404,C0030797;C1306645
ImageCLEFmedical_Caption_2024_train_047735,C1306645
ImageCLEFmedical_Caption_2024_train_005659,C0040405
ImageCLEFmedical_Caption_2024_train_061792,C0040132;C0041618
ImageCLEFmedical_Caption_2024_train_002362,C0037303;C0021102;C1306645
ImageCLEFmedical_Caption_2024_valid_004184,C0040405
ImageCLEFmedical_Caption_2024_train_022963,C0041618
ImageCLEFmedical_Caption_2024_train_040365,C0037949;C1306645
ImageCLEFmedical_Caption_2024_train_007062,C0040405
